Mar 14 14:33:13 lvl0: 	Error parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"!
	No document element found
Mar 14 14:33:15 lvl0: 	Error parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"!
	No document element found
Mar 14 14:33:20 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:33:20 lvl2: 	   (missing)
Mar 14 14:33:28 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:33:28 lvl2: 	   (missing)
Mar 14 14:33:35 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:33:35 lvl2: 	   (missing)
Mar 14 14:33:43 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:33:43 lvl2: 	   (missing)
Mar 14 14:33:51 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:33:51 lvl2: 	   (missing)
Mar 14 14:33:59 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:33:59 lvl2: 	   (missing)
Mar 14 14:34:08 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:34:08 lvl2: 	   (missing)
Mar 14 14:34:15 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:34:15 lvl2: 	   (missing)
Mar 14 14:34:25 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:34:25 lvl2: 	   (missing)
Mar 14 14:34:34 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:34:34 lvl2: 	   (missing)
Mar 14 14:34:43 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:34:43 lvl2: 	   (missing)
Mar 14 14:34:53 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:34:53 lvl2: 	   (missing)
Mar 14 14:34:59 lvl2: 	Couldn't find entry in index! RACING
Mar 14 14:34:59 lvl2: 	Couldn't find entry in index! 2
Mar 14 14:34:59 lvl2: 	Couldn't find entry in index! ACTIVISION
Mar 14 14:34:59 lvl2: 	Couldn't find entry in index! ACTIVISION
Mar 14 14:35:00 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:35:00 lvl2: 	   (missing)
Mar 14 14:35:06 lvl2: 	Couldn't find entry in index! ATARI
Mar 14 14:35:06 lvl2: 	Couldn't find entry in index! ATARI, INC.
Mar 14 14:35:08 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:35:08 lvl2: 	   (missing)
Mar 14 14:35:14 lvl2: 	Couldn't find entry in index! SPORTS
Mar 14 14:35:14 lvl2: 	Couldn't find entry in index! 4
Mar 14 14:35:14 lvl2: 	Couldn't find entry in index! SEARS, ROEBUCK AND CO.
Mar 14 14:35:15 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:35:15 lvl2: 	   (missing)
Mar 14 14:35:21 lvl2: 	Couldn't find entry in index! SHOOTER
Mar 14 14:35:21 lvl2: 	Couldn't find entry in index! ATARIAGE
Mar 14 14:35:23 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:35:23 lvl2: 	   (missing)
Mar 14 14:35:28 lvl2: 	Couldn't find entry in index! ACTION
Mar 14 14:35:30 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:35:30 lvl2: 	   (missing)
Mar 14 14:35:39 lvl2: 	 req sound [detailed.menuOpen]
Mar 14 14:35:39 lvl2: 	   (missing)
